id,purch_date,customer_num,product_num,amount,paid
1,2019-01-03,823,27,12,568.92
2,2019-01-03,606,28,14,395.36
3,2019-01-03,955,9,17,510.17
4,2019-01-03,577,19,3,68.49
5,2019-01-03,429,8,18,759.42
6,2019-01-03,275,36,18,176.76
7,2019-01-03,456,21,10,904.8
8,2019-01-03,526,58,19,1387.95
9,2019-01-03,326,44,2,61.34
10,2019-01-03,13,21,5,316.7
11,2019-01-03,727,47,20,966.4
12,2019-01-03,589,30,20,459.2
13,2019-01-03,305,1,19,120.84
14,2019-01-03,789,22,5,301.3
15,2019-01-03,800,37,14,867.86
16,2019-01-03,282,32,6,553.98
17,2019-01-03,121,5,5,436.95
18,2019-01-03,40,60,1,41.22
19,2019-01-03,94,53,18,1319.76
20,2019-01-03,450,43,18,732.42
21,2019-01-03,897,45,2,91.54
22,2019-01-03,737,50,11,682.66
23,2019-01-03,890,32,14,1292.62
24,2019-01-03,917,37,12,743.88
25,2019-01-03,349,22,1,38.57
26,2019-01-03,465,18,16,666.88
27,2019-01-03,183,12,2,85.12
28,2019-01-03,594,22,1,34.35
29,2019-01-03,826,26,14,1096.34
30,2019-01-03,622,47,6,289.92
31,2019-01-03,680,50,6,383.88
32,2019-01-03,842,31,2,111.54
33,2019-01-03,376,7,12,129.48
34,2019-01-03,570,49,7,438.2
35,2019-01-03,707,55,6,51.3
36,2019-01-03,906,48,10,366.7
37,2019-01-03,66,13,13,258.7
38,2019-01-03,498,30,20,459.2
39,2019-01-03,680,9,19,570.19
40,2019-01-03,583,58,2,146.1
41,2019-01-03,315,1,17,108.12
42,2019-01-03,898,22,19,664.05
43,2019-01-03,208,24,11,343.86
44,2019-01-03,483,5,2,174.78
45,2019-01-03,545,9,11,290.51
46,2019-01-04,53,24,4,125.04
47,2019-01-04,872,14,2,125.24
48,2019-01-04,588,21,2,180.96
49,2019-01-04,683,45,10,457.7
50,2019-01-04,804,29,17,1006.91
51,2019-01-04,744,9,18,459.18
52,2019-01-04,862,53,9,413.28
53,2019-01-04,808,57,18,1235.34
54,2019-01-04,173,42,6,435.78
55,2019-01-04,196,23,9,146.43
56,2019-01-04,957,23,10,87.9
57,2019-01-04,86,3,3,196.2
58,2019-01-04,733,35,10,956.8
59,2019-01-04,577,42,20,1750.2
60,2019-01-04,913,11,1,12.24
61,2019-01-04,693,4,7,477.12
62,2019-01-04,204,2,15,1286.1
63,2019-01-04,257,49,5,313.0
64,2019-01-04,343,19,16,365.28
65,2019-01-04,815,31,13,725.01
66,2019-01-04,158,2,19,1629.06
67,2019-01-04,356,29,16,824.48
68,2019-01-04,135,50,12,767.76
69,2019-01-04,710,56,14,287.42
70,2019-01-04,531,1,10,63.6
71,2019-01-04,217,37,19,1177.81
72,2019-01-04,346,54,5,188.95
73,2019-01-04,932,14,20,1809.0
74,2019-01-04,92,41,1,65.35
75,2019-01-04,37,1,11,69.96
76,2019-01-04,865,13,9,118.17
77,2019-01-04,620,21,16,1447.68
78,2019-01-04,644,42,15,1312.65
79,2019-01-04,591,35,19,1817.92
80,2019-01-04,318,56,13,266.89
81,2019-01-04,330,13,20,219.0
82,2019-01-04,778,14,2,198.8
83,2019-01-04,281,36,15,141.0
84,2019-01-04,994,41,15,980.25
85,2019-01-04,705,32,7,646.31
86,2019-01-04,751,13,2,39.8
87,2019-01-04,651,25,1,73.7
88,2019-01-04,434,30,15,323.7
89,2019-01-04,549,20,11,957.55
90,2019-01-04,458,44,6,95.7
91,2019-01-04,666,11,5,107.35
92,2019-01-04,206,22,18,1062.9
93,2019-01-04,312,9,20,600.2
94,2019-01-04,186,21,19,1564.46
95,2019-01-04,121,13,4,53.32
96,2019-01-04,902,10,1,88.99
97,2019-01-04,727,17,8,270.24
98,2019-01-04,89,31,2,111.54
99,2019-01-04,955,35,20,1913.6
100,2019-01-04,296,27,11,521.51
101,2019-01-04,393,29,12,668.16
102,2019-01-04,890,57,18,1235.34
103,2019-01-04,335,42,3,262.53
104,2019-01-04,268,5,16,1398.24
105,2019-01-04,992,16,2,110.9
106,2019-01-04,780,38,2,43.96
107,2019-01-04,120,17,13,439.14
108,2019-01-04,154,1,5,21.0
109,2019-01-04,864,19,4,91.32
110,2019-01-04,151,29,12,710.76
111,2019-01-04,264,41,8,261.44
112,2019-01-04,430,29,8,473.84
113,2019-01-04,54,20,7,609.35
114,2019-01-04,247,18,4,225.32
115,2019-01-04,330,46,15,920.1
116,2019-01-04,509,10,9,800.91
117,2019-01-04,804,41,9,588.15
118,2019-01-04,449,1,18,114.48
119,2019-01-04,405,38,10,219.8
120,2019-01-04,567,39,9,337.05
121,2019-01-04,535,45,4,183.08
122,2019-01-04,721,42,10,875.1
123,2019-01-04,967,30,13,152.23
124,2019-01-04,811,1,2,12.72
125,2019-01-04,721,32,17,1569.61
126,2019-01-04,187,10,20,1779.8
127,2019-01-04,563,21,2,180.96
128,2019-01-04,246,52,5,493.7
129,2019-01-04,367,37,19,1177.81
130,2019-01-05,673,54,8,302.32
131,2019-01-05,720,6,18,1678.86
132,2019-01-05,982,12,19,808.64
133,2019-01-05,184,34,17,1692.18
134,2019-01-05,588,24,12,375.12
135,2019-01-05,22,9,6,180.06
136,2019-01-05,297,29,1,59.23
137,2019-01-05,997,49,3,187.8
138,2019-01-05,376,7,10,89.9
139,2019-01-05,766,22,14,843.64
140,2019-01-05,792,2,2,171.48
141,2019-01-05,630,9,13,370.63
142,2019-01-05,914,57,13,562.12
143,2019-01-05,448,2,15,1286.1
144,2019-01-05,741,45,5,228.85
145,2019-01-05,856,30,14,321.44
146,2019-01-05,263,17,11,338.14
147,2019-01-05,53,40,11,436.26
148,2019-01-05,602,18,5,166.15
149,2019-01-05,710,49,10,438.2
150,2019-01-05,15,48,2,57.2
151,2019-01-05,19,8,1,42.19
152,2019-01-05,414,52,19,1876.06
153,2019-01-05,113,54,7,264.53
154,2019-01-05,113,12,9,383.04
155,2019-01-05,747,24,6,187.56
156,2019-01-05,768,57,1,68.63
157,2019-01-05,201,17,4,135.12
158,2019-01-05,413,9,12,360.12
159,2019-01-05,394,52,15,1481.1
160,2019-01-05,809,43,20,813.8
161,2019-01-05,390,56,9,184.77
162,2019-01-05,551,39,4,149.8
163,2019-01-05,669,48,19,438.9
164,2019-01-05,624,4,8,545.28
165,2019-01-05,35,44,4,83.44
166,2019-01-05,274,14,13,1292.2
167,2019-01-05,351,56,5,102.65
168,2019-01-05,724,39,2,74.9
169,2019-01-05,754,54,10,377.9
170,2019-01-05,185,10,17,1089.19
171,2019-01-05,528,57,19,1303.97
172,2019-01-05,890,28,6,94.86
173,2019-01-05,855,38,8,175.84
174,2019-01-05,398,47,8,386.56
175,2019-01-05,585,31,17,948.09
176,2019-01-05,947,49,13,813.8
177,2019-01-05,336,14,15,1491.0
178,2019-01-05,584,42,16,1400.16
179,2019-01-05,303,48,9,330.03
180,2019-01-05,894,57,19,1251.72
181,2019-01-05,684,2,5,428.7
182,2019-01-05,510,29,3,177.69
183,2019-01-05,609,3,17,1111.8
184,2019-01-05,778,15,10,70.7
185,2019-01-05,915,11,1,21.47
186,2019-01-05,688,1,16,101.76
187,2019-01-05,514,20,10,870.5
188,2019-01-05,675,11,11,236.17
189,2019-01-05,451,38,4,83.52
190,2019-01-05,969,14,13,1292.2
191,2019-01-05,140,60,6,247.32
192,2019-01-05,224,54,11,415.69
193,2019-01-05,356,39,16,599.2
194,2019-01-05,752,57,20,1372.6
195,2019-01-05,768,11,6,128.82
196,2019-01-05,192,45,19,869.63
197,2019-01-05,229,21,14,1266.72
198,2019-01-05,582,10,4,355.96
199,2019-01-05,591,31,3,167.31
200,2019-01-05,852,8,2,84.38
201,2019-01-06,764,24,9,208.17
202,2019-01-06,268,21,9,480.42
203,2019-01-06,436,54,20,755.8
204,2019-01-06,223,23,1,8.95
205,2019-01-06,769,46,16,853.92
206,2019-01-06,979,9,16,480.16
207,2019-01-06,669,3,16,1046.4
208,2019-01-06,502,25,6,442.2
209,2019-01-06,756,36,14,193.62
210,2019-01-06,863,41,6,254.88
211,2019-01-06,871,53,19,1407.14
212,2019-01-06,918,34,20,1990.8
213,2019-01-06,190,37,4,247.96
214,2019-01-06,106,57,4,274.52
215,2019-01-06,724,53,6,444.36
216,2019-01-06,178,31,16,892.32
217,2019-01-06,267,2,2,171.48
218,2019-01-06,72,35,17,992.12
219,2019-01-06,616,42,16,1400.16
220,2019-01-06,475,16,12,665.4
221,2019-01-06,743,28,1,20.33
222,2019-01-06,521,28,17,388.79
223,2019-01-06,86,33,15,1233.3
224,2019-01-06,347,60,9,370.98
225,2019-01-06,443,2,18,972.36
